,T_ALLT6_Pa_ref  ,T_ALLT6_Pb_ref  ,T_ALLT6_Pc_ref  ,T_ALLT6_Qa_ref  ,T_ALLT6_Qb_ref  ,T_ALLT6_Qc_ref  
1655,-198.42551,-175.2995,-174.9106,-159.57111,-65.0366,-174.16701
1656,-198.42551,-175.2995,-174.9106,-159.57111,-65.0366,-174.16701
1657,-189.0265,-165.6436,-176.18851,-152.0125,-61.4542,-175.43941
1658,-189.0265,-165.6436,-176.18851,-152.0125,-61.4542,-175.43941
1659,-189.0265,-165.6436,-176.18851,-152.0125,-61.4542,-175.43941
1660,-189.0265,-165.6436,-176.18851,-152.0125,-61.4542,-175.43941
1661,-180.0282,-156.80209,-177.0665,-144.77631,-58.174,-176.3136
1662,-180.0282,-156.80209,-177.0665,-144.77631,-58.174,-176.3136
1663,-180.0282,-156.80209,-177.0665,-144.77631,-58.174,-176.3136
1664,-180.0282,-156.80209,-177.0665,-144.77631,-58.174,-176.3136
1665,-180.0282,-156.80209,-177.0665,-144.77631,-58.174,-176.3136
1666,-171.4761,-149.1273,-177.61951,-137.8988,-55.3266,-176.8643
1667,-171.4761,-149.1273,-177.61951,-137.8988,-55.3266,-176.8643
1668,-171.4761,-149.1273,-177.61951,-137.8988,-55.3266,-176.8643
1669,-171.4761,-149.1273,-177.61951,-137.8988,-55.3266,-176.8643
1670,-163.4153,-142.97169,-177.9227,-131.4164,-53.0429,-177.16631
1671,-163.4153,-142.97169,-177.9227,-131.4164,-53.0429,-177.16631
1672,-163.4153,-142.97169,-177.9227,-131.4164,-53.0429,-177.16631
1673,-163.4153,-142.97169,-177.9227,-131.4164,-53.0429,-177.16631
1674,-155.8912,-138.68739,-178.05119,-125.3656,-51.4534,-177.2942
1675,-155.8912,-138.68739,-178.05119,-125.3656,-51.4534,-177.2942
1676,-155.8912,-138.68739,-178.05119,-125.3656,-51.4534,-177.2942
1677,-155.8912,-138.68739,-178.05119,-125.3656,-51.4534,-177.2942
1678,-148.9489,-136.627,-178.08,-119.7827,-50.689,-177.32291
1679,-148.9489,-136.627,-178.08,-119.7827,-50.689,-177.32291
1680,-148.9489,-136.627,-178.08,-119.7827,-50.689,-177.32291
1681,-148.9489,-136.627,-178.08,-119.7827,-50.689,-177.32291
1682,-142.4536,-136.7959,-177.9268,-114.5592,-50.7517,-177.17039
1683,-142.4536,-136.7959,-177.9268,-114.5592,-50.7517,-177.17039
1684,-142.4536,-136.7959,-177.9268,-114.5592,-50.7517,-177.17039
1685,-142.4536,-136.7959,-177.9268,-114.5592,-50.7517,-177.17039
1686,-135.9969,-138.1114,-177.1953,-109.3669,-51.2397,-176.44189
1687,-135.9969,-138.1114,-177.1953,-109.3669,-51.2397,-176.44189
1688,-135.9969,-138.1114,-177.1953,-109.3669,-51.2397,-176.44189
1689,-135.9969,-138.1114,-177.1953,-109.3669,-51.2397,-176.44189
1690,-129.7896,-140.07381,-175.948,-104.3751,-51.9678,-175.19991
1691,-129.7896,-140.07381,-175.948,-104.3751,-51.9678,-175.19991
1692,-129.7896,-140.07381,-175.948,-104.3751,-51.9678,-175.19991
1693,-129.7896,-140.07381,-175.948,-104.3751,-51.9678,-175.19991
1694,-124.084,-142.24409,-174.28149,-99.7867,-52.773,-173.5406
1695,-124.084,-142.24409,-174.28149,-99.7867,-52.773,-173.5406
1696,-124.084,-142.24409,-174.28149,-99.7867,-52.773,-173.5406
1697,-124.084,-142.24409,-174.28149,-99.7867,-52.773,-173.5406
1698,-119.1325,-144.1834,-172.2925,-95.8047,-53.4924,-171.56
1699,-119.1325,-144.1834,-172.2925,-95.8047,-53.4924,-171.56
1700,-119.1325,-144.1834,-172.2925,-95.8047,-53.4924,-171.56
1701,-119.1325,-144.1834,-172.2925,-95.8047,-53.4924,-171.56
1702,-115.1875,-145.4527,-170.0773,-92.6322,-53.9634,-169.3542
1703,-115.1875,-145.4527,-170.0773,-92.6322,-53.9634,-169.3542
1704,-115.1875,-145.4527,-170.0773,-92.6322,-53.9634,-169.3542
1705,-115.1875,-145.4527,-170.0773,-92.6322,-53.9634,-169.3542
1706,-112.4059,-145.7029,-167.49339,-90.3953,-54.0562,-166.7813
1707,-112.4059,-145.7029,-167.49339,-90.3953,-54.0562,-166.7813
1708,-112.4059,-145.7029,-167.49339,-90.3953,-54.0562,-166.7813
1709,-112.4059,-145.7029,-167.49339,-90.3953,-54.0562,-166.7813
1710,-109.9673,-145.6048,-162.4303,-88.4342,-54.0198,-161.7397
1711,-109.9673,-145.6048,-162.4303,-88.4342,-54.0198,-161.7397
1712,-109.9673,-145.6048,-162.4303,-88.4342,-54.0198,-161.7397
1713,-109.9673,-145.6048,-162.4303,-88.4342,-54.0198,-161.7397
1714,-107.717,-145.40179,-155.408,-86.6246,-53.9445,-154.7473
1715,-107.717,-145.40179,-155.408,-86.6246,-53.9445,-154.7473
1716,-107.717,-145.40179,-155.408,-86.6246,-53.9445,-154.7473
1717,-107.717,-145.40179,-155.408,-86.6246,-53.9445,-154.7473
1718,-105.7722,-145.10291,-147.7301,-85.0606,-53.8336,-147.10201
1719,-105.7722,-145.10291,-147.7301,-85.0606,-53.8336,-147.10201
1720,-105.7722,-145.10291,-147.7301,-85.0606,-53.8336,-147.10201
1721,-105.7722,-145.10291,-147.7301,-85.0606,-53.8336,-147.10201
1722,-104.2498,-144.7173,-140.7,-83.8363,-53.6905,-140.10181
1723,-104.2498,-144.7173,-140.7,-83.8363,-53.6905,-140.10181
1724,-104.2498,-144.7173,-140.7,-83.8363,-53.6905,-140.10181
1725,-104.2498,-144.7173,-140.7,-83.8363,-53.6905,-140.10181
1726,-103.2668,-144.25391,-135.62131,-83.0457,-53.5186,-135.04469
1727,-103.2668,-144.25391,-135.62131,-83.0457,-53.5186,-135.04469
1728,-103.2668,-144.25391,-135.62131,-83.0457,-53.5186,-135.04469
1729,-103.2668,-144.25391,-135.62131,-83.0457,-53.5186,-135.04469
1730,-102.9415,-143.7187,-133.8553,-82.7841,-53.32,-133.28619
1731,-102.9415,-143.7187,-133.8553,-82.7841,-53.32,-133.28619
1732,-102.9415,-143.7187,-133.8553,-82.7841,-53.32,-133.28619
1733,-103.8176,-141.9922,-156.69341,-83.4887,-52.6795,-156.02721
1734,-103.8176,-141.9922,-156.69341,-83.4887,-52.6795,-156.02721
1735,-103.8176,-141.9922,-156.69341,-83.4887,-52.6795,-156.02721
1736,-103.8176,-141.9922,-156.69341,-83.4887,-52.6795,-156.02721
